localidad,hora_dia,primary_category,promedio_clips_hora
12 DE ABRIL,0,Amphibian,7.48
12 DE ABRIL,0,Anthropogenic,32.98
12 DE ABRIL,0,Bird,1.18
12 DE ABRIL,0,Insect,66.8
12 DE ABRIL,0,Mammal,0.1
12 DE ABRIL,1,Amphibian,3.98
12 DE ABRIL,1,Anthropogenic,28.02
12 DE ABRIL,1,Bird,1.1
12 DE ABRIL,1,Insect,59.84
12 DE ABRIL,1,Mammal,1.04
12 DE ABRIL,2,Amphibian,2.98
12 DE ABRIL,2,Anthropogenic,24.56
12 DE ABRIL,2,Bird,0.86
12 DE ABRIL,2,Insect,59.12
12 DE ABRIL,2,Mammal,0.1
12 DE ABRIL,3,Amphibian,4.16
12 DE ABRIL,3,Anthropogenic,20.1
12 DE ABRIL,3,Bird,1.0
12 DE ABRIL,3,Insect,58.32
12 DE ABRIL,3,Mammal,0.14
12 DE ABRIL,4,Amphibian,4.46
12 DE ABRIL,4,Anthropogenic,19.46
12 DE ABRIL,4,Bird,3.24
12 DE ABRIL,4,Insect,57.16
12 DE ABRIL,4,Mammal,0.24
12 DE ABRIL,5,Amphibian,5.02
12 DE ABRIL,5,Anthropogenic,15.82
12 DE ABRIL,5,Bird,7.82
12 DE ABRIL,5,Insect,60.56
12 DE ABRIL,5,Mammal,0.16
12 DE ABRIL,6,Amphibian,0.36
12 DE ABRIL,6,Anthropogenic,8.34
12 DE ABRIL,6,Bird,36.44
12 DE ABRIL,6,Insect,54.42
12 DE ABRIL,6,Mammal,1.24
12 DE ABRIL,7,Amphibian,0.42
12 DE ABRIL,7,Anthropogenic,15.46
12 DE ABRIL,7,Bird,25.28
12 DE ABRIL,7,Insect,58.72
12 DE ABRIL,7,Mammal,0.94
12 DE ABRIL,8,Amphibian,0.34
12 DE ABRIL,8,Anthropogenic,12.14
12 DE ABRIL,8,Bird,26.76
12 DE ABRIL,8,Insect,54.88
12 DE ABRIL,8,Mammal,1.34
12 DE ABRIL,9,Amphibian,0.18
12 DE ABRIL,9,Anthropogenic,14.36
12 DE ABRIL,9,Bird,28.8
12 DE ABRIL,9,Insect,37.46
12 DE ABRIL,9,Mammal,1.1
12 DE ABRIL,10,Amphibian,0.32
12 DE ABRIL,10,Anthropogenic,17.02
12 DE ABRIL,10,Bird,37.54
12 DE ABRIL,10,Insect,49.46
12 DE ABRIL,10,Mammal,0.88
12 DE ABRIL,11,Amphibian,0.26
12 DE ABRIL,11,Anthropogenic,18.26
12 DE ABRIL,11,Bird,27.62
12 DE ABRIL,11,Insect,53.48
12 DE ABRIL,11,Mammal,0.86
12 DE ABRIL,12,Amphibian,0.36
12 DE ABRIL,12,Anthropogenic,18.78
12 DE ABRIL,12,Bird,25.9
12 DE ABRIL,12,Insect,41.34
12 DE ABRIL,12,Mammal,2.16
12 DE ABRIL,13,Amphibian,0.36
12 DE ABRIL,13,Anthropogenic,14.88
12 DE ABRIL,13,Bird,19.0
12 DE ABRIL,13,Insect,50.72
12 DE ABRIL,13,Mammal,0.7
12 DE ABRIL,14,Amphibian,0.48
12 DE ABRIL,14,Anthropogenic,20.3
12 DE ABRIL,14,Bird,22.5
12 DE ABRIL,14,Insect,51.76
12 DE ABRIL,14,Mammal,1.5
12 DE ABRIL,15,Amphibian,0.64
12 DE ABRIL,15,Anthropogenic,15.88
12 DE ABRIL,15,Bird,17.4
12 DE ABRIL,15,Insect,68.62
12 DE ABRIL,15,Mammal,1.3
12 DE ABRIL,16,Amphibian,2.78
12 DE ABRIL,16,Anthropogenic,15.92
12 DE ABRIL,16,Bird,20.84
12 DE ABRIL,16,Insect,74.34
12 DE ABRIL,16,Mammal,0.22
12 DE ABRIL,17,Amphibian,2.76
12 DE ABRIL,17,Anthropogenic,27.22
12 DE ABRIL,17,Bird,19.18
12 DE ABRIL,17,Insect,77.7
12 DE ABRIL,17,Mammal,0.24
12 DE ABRIL,18,Amphibian,6.06
12 DE ABRIL,18,Anthropogenic,31.26
12 DE ABRIL,18,Bird,5.7
12 DE ABRIL,18,Insect,93.44
12 DE ABRIL,18,Mammal,0.06
12 DE ABRIL,19,Amphibian,1.88
12 DE ABRIL,19,Anthropogenic,35.64
12 DE ABRIL,19,Bird,1.14
12 DE ABRIL,19,Insect,100.62
12 DE ABRIL,19,Mammal,0.02
12 DE ABRIL,20,Amphibian,7.58
12 DE ABRIL,20,Anthropogenic,42.98
12 DE ABRIL,20,Bird,1.06
12 DE ABRIL,20,Insect,82.24
12 DE ABRIL,20,Mammal,0.28
12 DE ABRIL,21,Amphibian,11.54
12 DE ABRIL,21,Anthropogenic,44.58
12 DE ABRIL,21,Bird,1.2
12 DE ABRIL,21,Insect,74.34
12 DE ABRIL,21,Mammal,0.42
12 DE ABRIL,22,Amphibian,15.54
12 DE ABRIL,22,Anthropogenic,40.16
12 DE ABRIL,22,Bird,1.44
12 DE ABRIL,22,Insect,65.56
12 DE ABRIL,22,Mammal,0.14
12 DE ABRIL,23,Amphibian,9.96
12 DE ABRIL,23,Anthropogenic,36.18
12 DE ABRIL,23,Bird,1.52
12 DE ABRIL,23,Insect,63.5
12 DE ABRIL,23,Mammal,0.2
PAUJIL,0,Amphibian,4.95
PAUJIL,0,Anthropogenic,16.0
PAUJIL,0,Bird,4.05
PAUJIL,0,Insect,123.56
PAUJIL,0,Mammal,0.13
PAUJIL,1,Amphibian,4.56
PAUJIL,1,Anthropogenic,9.44
PAUJIL,1,Bird,3.15
PAUJIL,1,Insect,116.11
PAUJIL,1,Mammal,0.09
PAUJIL,2,Amphibian,4.49
PAUJIL,2,Anthropogenic,13.05
PAUJIL,2,Bird,4.11
PAUJIL,2,Insect,113.53
PAUJIL,2,Mammal,0.35
PAUJIL,3,Amphibian,5.58
PAUJIL,3,Anthropogenic,11.4
PAUJIL,3,Bird,24.87
PAUJIL,3,Insect,93.98
PAUJIL,4,Amphibian,3.44
PAUJIL,4,Anthropogenic,14.22
PAUJIL,4,Bird,24.56
PAUJIL,4,Insect,89.89
PAUJIL,4,Mammal,0.04
PAUJIL,5,Amphibian,3.51
PAUJIL,5,Anthropogenic,17.71
PAUJIL,5,Bird,31.25
PAUJIL,5,Insect,71.09
PAUJIL,5,Mammal,0.31
PAUJIL,6,Amphibian,2.24
PAUJIL,6,Anthropogenic,10.89
PAUJIL,6,Bird,56.95
PAUJIL,6,Insect,70.04
PAUJIL,6,Mammal,0.27
PAUJIL,7,Amphibian,2.64
PAUJIL,7,Anthropogenic,14.4
PAUJIL,7,Bird,52.11
PAUJIL,7,Insect,73.98
PAUJIL,7,Mammal,0.47
PAUJIL,8,Amphibian,1.2
PAUJIL,8,Anthropogenic,10.76
PAUJIL,8,Bird,55.56
PAUJIL,8,Insect,66.91
PAUJIL,8,Mammal,0.33
PAUJIL,9,Amphibian,0.91
PAUJIL,9,Anthropogenic,16.31
PAUJIL,9,Bird,54.24
PAUJIL,9,Insect,54.75
PAUJIL,9,Mammal,0.76
PAUJIL,10,Amphibian,3.42
PAUJIL,10,Anthropogenic,17.38
PAUJIL,10,Bird,65.15
PAUJIL,10,Insect,66.51
PAUJIL,10,Mammal,0.38
PAUJIL,11,Amphibian,0.67
PAUJIL,11,Anthropogenic,16.05
PAUJIL,11,Bird,60.15
PAUJIL,11,Insect,71.51
PAUJIL,11,Mammal,0.6
PAUJIL,12,Amphibian,1.35
PAUJIL,12,Anthropogenic,19.56
PAUJIL,12,Bird,55.76
PAUJIL,12,Insect,74.87
PAUJIL,12,Mammal,0.58
PAUJIL,13,Amphibian,3.78
PAUJIL,13,Anthropogenic,20.62
PAUJIL,13,Bird,48.09
PAUJIL,13,Insect,65.82
PAUJIL,13,Mammal,0.69
PAUJIL,14,Amphibian,2.67
PAUJIL,14,Anthropogenic,17.73
PAUJIL,14,Bird,41.75
PAUJIL,14,Insect,70.82
PAUJIL,14,Mammal,0.8
PAUJIL,15,Amphibian,8.98
PAUJIL,15,Anthropogenic,20.25
PAUJIL,15,Bird,33.71
PAUJIL,15,Insect,89.49
PAUJIL,15,Mammal,0.29
PAUJIL,16,Amphibian,6.91
PAUJIL,16,Anthropogenic,21.71
PAUJIL,16,Bird,26.2
PAUJIL,16,Insect,88.05
PAUJIL,16,Mammal,0.6
PAUJIL,17,Amphibian,8.11
PAUJIL,17,Anthropogenic,28.78
PAUJIL,17,Bird,19.09
PAUJIL,17,Insect,76.16
PAUJIL,17,Mammal,0.42
