localidad,anio,estacion,ciclo_hidrologico,hora_dia,primary_category,promedio_clips_hora
12 DE ABRIL,2023,Spring,Creciente,0,Amphibian,19.8
12 DE ABRIL,2023,Spring,Creciente,0,Anthropogenic,11.0
12 DE ABRIL,2023,Spring,Creciente,0,Bird,0.8
12 DE ABRIL,2023,Spring,Creciente,0,Insect,6.0
12 DE ABRIL,2023,Spring,Creciente,1,Amphibian,5.4
12 DE ABRIL,2023,Spring,Creciente,1,Anthropogenic,13.4
12 DE ABRIL,2023,Spring,Creciente,1,Bird,0.8
12 DE ABRIL,2023,Spring,Creciente,1,Insect,10.2
12 DE ABRIL,2023,Spring,Creciente,2,Amphibian,1.0
12 DE ABRIL,2023,Spring,Creciente,2,Anthropogenic,9.2
12 DE ABRIL,2023,Spring,Creciente,2,Bird,0.4
12 DE ABRIL,2023,Spring,Creciente,2,Insect,13.4
12 DE ABRIL,2023,Spring,Creciente,3,Amphibian,0.8
12 DE ABRIL,2023,Spring,Creciente,3,Anthropogenic,17.6
12 DE ABRIL,2023,Spring,Creciente,3,Bird,1.6
12 DE ABRIL,2023,Spring,Creciente,3,Insect,37.6
12 DE ABRIL,2023,Spring,Creciente,4,Amphibian,1.6
12 DE ABRIL,2023,Spring,Creciente,4,Anthropogenic,12.2
12 DE ABRIL,2023,Spring,Creciente,4,Bird,0.2
12 DE ABRIL,2023,Spring,Creciente,4,Insect,19.6
12 DE ABRIL,2023,Spring,Creciente,5,Anthropogenic,14.0
12 DE ABRIL,2023,Spring,Creciente,5,Bird,0.8
12 DE ABRIL,2023,Spring,Creciente,5,Insect,17.2
12 DE ABRIL,2023,Spring,Creciente,6,Amphibian,0.2
12 DE ABRIL,2023,Spring,Creciente,6,Anthropogenic,13.6
12 DE ABRIL,2023,Spring,Creciente,6,Bird,20.8
12 DE ABRIL,2023,Spring,Creciente,6,Insect,45.0
12 DE ABRIL,2023,Spring,Creciente,6,Mammal,1.4
12 DE ABRIL,2023,Spring,Creciente,7,Anthropogenic,8.2
12 DE ABRIL,2023,Spring,Creciente,7,Bird,18.4
12 DE ABRIL,2023,Spring,Creciente,7,Insect,46.8
12 DE ABRIL,2023,Spring,Creciente,7,Mammal,0.4
12 DE ABRIL,2023,Spring,Creciente,8,Anthropogenic,0.2
12 DE ABRIL,2023,Spring,Creciente,8,Bird,21.8
12 DE ABRIL,2023,Spring,Creciente,8,Insect,11.8
12 DE ABRIL,2023,Spring,Creciente,9,Anthropogenic,1.6
12 DE ABRIL,2023,Spring,Creciente,9,Bird,30.2
12 DE ABRIL,2023,Spring,Creciente,9,Insect,8.2
12 DE ABRIL,2023,Spring,Creciente,9,Mammal,2.0
12 DE ABRIL,2023,Spring,Creciente,10,Amphibian,0.2
12 DE ABRIL,2023,Spring,Creciente,10,Anthropogenic,13.8
12 DE ABRIL,2023,Spring,Creciente,10,Bird,44.0
12 DE ABRIL,2023,Spring,Creciente,10,Insect,29.6
12 DE ABRIL,2023,Spring,Creciente,10,Mammal,0.8
12 DE ABRIL,2023,Spring,Creciente,11,Anthropogenic,23.4
12 DE ABRIL,2023,Spring,Creciente,11,Bird,37.2
12 DE ABRIL,2023,Spring,Creciente,11,Insect,36.6
12 DE ABRIL,2023,Spring,Creciente,11,Mammal,1.0
12 DE ABRIL,2023,Spring,Creciente,12,Anthropogenic,19.4
12 DE ABRIL,2023,Spring,Creciente,12,Bird,46.2
12 DE ABRIL,2023,Spring,Creciente,12,Insect,47.6
12 DE ABRIL,2023,Spring,Creciente,12,Mammal,3.2
12 DE ABRIL,2023,Spring,Creciente,13,Anthropogenic,25.0
12 DE ABRIL,2023,Spring,Creciente,13,Bird,38.6
12 DE ABRIL,2023,Spring,Creciente,13,Insect,27.8
12 DE ABRIL,2023,Spring,Creciente,14,Anthropogenic,21.4
12 DE ABRIL,2023,Spring,Creciente,14,Bird,44.8
12 DE ABRIL,2023,Spring,Creciente,14,Insect,43.2
12 DE ABRIL,2023,Spring,Creciente,14,Mammal,1.2
12 DE ABRIL,2023,Spring,Creciente,15,Amphibian,0.8
12 DE ABRIL,2023,Spring,Creciente,15,Anthropogenic,12.2
12 DE ABRIL,2023,Spring,Creciente,15,Bird,36.2
12 DE ABRIL,2023,Spring,Creciente,15,Insect,56.8
12 DE ABRIL,2023,Spring,Creciente,15,Mammal,0.4
12 DE ABRIL,2023,Spring,Creciente,16,Amphibian,2.6
12 DE ABRIL,2023,Spring,Creciente,16,Anthropogenic,7.6
12 DE ABRIL,2023,Spring,Creciente,16,Bird,60.0
12 DE ABRIL,2023,Spring,Creciente,16,Insect,70.4
12 DE ABRIL,2023,Spring,Creciente,16,Mammal,0.4
12 DE ABRIL,2023,Spring,Creciente,17,Amphibian,2.0
12 DE ABRIL,2023,Spring,Creciente,17,Anthropogenic,5.2
12 DE ABRIL,2023,Spring,Creciente,17,Bird,38.2
12 DE ABRIL,2023,Spring,Creciente,17,Insect,101.2
12 DE ABRIL,2023,Spring,Creciente,17,Mammal,0.2
12 DE ABRIL,2023,Spring,Creciente,18,Amphibian,6.4
12 DE ABRIL,2023,Spring,Creciente,18,Anthropogenic,15.2
12 DE ABRIL,2023,Spring,Creciente,18,Bird,12.2
12 DE ABRIL,2023,Spring,Creciente,18,Insect,106.6
12 DE ABRIL,2023,Spring,Creciente,19,Amphibian,8.0
12 DE ABRIL,2023,Spring,Creciente,19,Anthropogenic,4.8
12 DE ABRIL,2023,Spring,Creciente,19,Insect,143.0
12 DE ABRIL,2023,Spring,Creciente,20,Amphibian,24.6
12 DE ABRIL,2023,Spring,Creciente,20,Anthropogenic,15.4
12 DE ABRIL,2023,Spring,Creciente,20,Bird,0.6
12 DE ABRIL,2023,Spring,Creciente,20,Insect,75.6
12 DE ABRIL,2023,Spring,Creciente,21,Amphibian,26.2
12 DE ABRIL,2023,Spring,Creciente,21,Anthropogenic,14.0
12 DE ABRIL,2023,Spring,Creciente,21,Bird,3.8
12 DE ABRIL,2023,Spring,Creciente,21,Insect,79.8
12 DE ABRIL,2023,Spring,Creciente,22,Amphibian,43.8
12 DE ABRIL,2023,Spring,Creciente,22,Anthropogenic,23.0
12 DE ABRIL,2023,Spring,Creciente,22,Bird,0.4
12 DE ABRIL,2023,Spring,Creciente,22,Insect,49.2
12 DE ABRIL,2023,Spring,Creciente,23,Amphibian,26.6
12 DE ABRIL,2023,Spring,Creciente,23,Anthropogenic,12.2
12 DE ABRIL,2023,Spring,Creciente,23,Bird,0.2
12 DE ABRIL,2023,Spring,Creciente,23,Insect,50.2
12 DE ABRIL,2023,Summer,Creciente,0,Amphibian,20.67
12 DE ABRIL,2023,Summer,Creciente,0,Anthropogenic,44.5
12 DE ABRIL,2023,Summer,Creciente,0,Bird,2.33
12 DE ABRIL,2023,Summer,Creciente,0,Insect,78.5
12 DE ABRIL,2023,Summer,Creciente,1,Amphibian,12.0
12 DE ABRIL,2023,Summer,Creciente,1,Anthropogenic,38.5
12 DE ABRIL,2023,Summer,Creciente,1,Bird,0.67
12 DE ABRIL,2023,Summer,Creciente,1,Insect,58.67
12 DE ABRIL,2023,Summer,Creciente,2,Amphibian,8.67
12 DE ABRIL,2023,Summer,Creciente,2,Anthropogenic,41.33
12 DE ABRIL,2023,Summer,Creciente,2,Bird,0.83
12 DE ABRIL,2023,Summer,Creciente,2,Insect,54.17
12 DE ABRIL,2023,Summer,Creciente,3,Amphibian,7.83
12 DE ABRIL,2023,Summer,Creciente,3,Anthropogenic,31.5
12 DE ABRIL,2023,Summer,Creciente,3,Bird,1.67
12 DE ABRIL,2023,Summer,Creciente,3,Insect,50.83
12 DE ABRIL,2023,Summer,Creciente,3,Mammal,0.17
12 DE ABRIL,2023,Summer,Creciente,4,Amphibian,4.17
12 DE ABRIL,2023,Summer,Creciente,4,Anthropogenic,49.33
12 DE ABRIL,2023,Summer,Creciente,4,Bird,2.0
12 DE ABRIL,2023,Summer,Creciente,4,Insect,58.33
12 DE ABRIL,2023,Summer,Creciente,5,Amphibian,21.67
12 DE ABRIL,2023,Summer,Creciente,5,Anthropogenic,43.17
12 DE ABRIL,2023,Summer,Creciente,5,Bird,9.33
12 DE ABRIL,2023,Summer,Creciente,5,Insect,86.0
12 DE ABRIL,2023,Summer,Creciente,5,Mammal,0.33
12 DE ABRIL,2023,Summer,Creciente,6,Amphibian,0.33
12 DE ABRIL,2023,Summer,Creciente,6,Anthropogenic,8.83
12 DE ABRIL,2023,Summer,Creciente,6,Bird,68.0
12 DE ABRIL,2023,Summer,Creciente,6,Insect,85.5
12 DE ABRIL,2023,Summer,Creciente,6,Mammal,0.5
12 DE ABRIL,2023,Summer,Creciente,7,Amphibian,0.83
12 DE ABRIL,2023,Summer,Creciente,7,Anthropogenic,19.67
12 DE ABRIL,2023,Summer,Creciente,7,Bird,63.0
12 DE ABRIL,2023,Summer,Creciente,7,Insect,98.17
12 DE ABRIL,2023,Summer,Creciente,7,Mammal,1.33
12 DE ABRIL,2023,Summer,Creciente,8,Amphibian,0.5
12 DE ABRIL,2023,Summer,Creciente,8,Anthropogenic,24.83
12 DE ABRIL,2023,Summer,Creciente,8,Bird,77.5
12 DE ABRIL,2023,Summer,Creciente,8,Insect,80.0
12 DE ABRIL,2023,Summer,Creciente,8,Mammal,0.5
12 DE ABRIL,2023,Summer,Creciente,9,Amphibian,0.17
12 DE ABRIL,2023,Summer,Creciente,9,Anthropogenic,22.5
12 DE ABRIL,2023,Summer,Creciente,9,Bird,77.83
12 DE ABRIL,2023,Summer,Creciente,9,Insect,39.5
12 DE ABRIL,2023,Summer,Creciente,9,Mammal,1.17
12 DE ABRIL,2023,Summer,Creciente,10,Amphibian,0.5
12 DE ABRIL,2023,Summer,Creciente,10,Anthropogenic,26.83
12 DE ABRIL,2023,Summer,Creciente,10,Bird,53.17
12 DE ABRIL,2023,Summer,Creciente,10,Insect,29.67
12 DE ABRIL,2023,Summer,Creciente,10,Mammal,0.33
12 DE ABRIL,2023,Summer,Creciente,11,Amphibian,0.17
12 DE ABRIL,2023,Summer,Creciente,11,Anthropogenic,19.17
12 DE ABRIL,2023,Summer,Creciente,11,Bird,63.0
12 DE ABRIL,2023,Summer,Creciente,11,Insect,38.5
12 DE ABRIL,2023,Summer,Creciente,11,Mammal,0.5
12 DE ABRIL,2023,Summer,Creciente,12,Amphibian,0.83
12 DE ABRIL,2023,Summer,Creciente,12,Anthropogenic,18.83
12 DE ABRIL,2023,Summer,Creciente,12,Bird,68.83
12 DE ABRIL,2023,Summer,Creciente,12,Insect,38.5
12 DE ABRIL,2023,Summer,Creciente,12,Mammal,0.33
12 DE ABRIL,2023,Summer,Creciente,13,Anthropogenic,22.83
12 DE ABRIL,2023,Summer,Creciente,13,Bird,53.17
12 DE ABRIL,2023,Summer,Creciente,13,Insect,31.5
12 DE ABRIL,2023,Summer,Creciente,13,Mammal,0.33
12 DE ABRIL,2023,Summer,Creciente,14,Anthropogenic,20.17
12 DE ABRIL,2023,Summer,Creciente,14,Bird,55.83
12 DE ABRIL,2023,Summer,Creciente,14,Insect,42.83
12 DE ABRIL,2023,Summer,Creciente,14,Mammal,0.17
12 DE ABRIL,2023,Summer,Creciente,15,Amphibian,0.17
12 DE ABRIL,2023,Summer,Creciente,15,Anthropogenic,22.0
