Year,Locality,IAM_pct,ISAHI_pct,FTA_pct,Total_Clips
2023,12 DE ABRIL,21.62,23.98,0.54,163096
2023,PAUJIL,23.58,21.54,1.1,163791
2023,QUISTOCOCHA,18.18,39.47,1.12,139457
2023,SAN LUCAS,23.11,14.61,2.19,176174
2023,VARILLAL,22.83,29.99,1.64,126048
2024,12 DE ABRIL,20.04,23.19,0.2,138993
2024,PAUJIL,28.87,30.65,1.01,194562
2024,QUISTOCOCHA,12.54,30.08,1.26,184088
2024,SAN LUCAS,14.49,32.31,0.81,220927
2024,VARILLAL,17.44,28.31,0.53,373081
2025,12 DE ABRIL,15.05,25.15,0.89,236827
2025,PAUJIL,7.14,20.31,0.07,186960
2025,QUISTOCOCHA,2.5,24.73,0.34,212612
2025,SAN LUCAS,17.99,42.73,0.21,295370
2025,VARILLAL,6.58,41.95,0.31,319836
