ciclo_hidrologico,anio,localidad,hora_del_dia,pct_fta
Creciente,2023,12 DE ABRIL,0,1.0753
Creciente,2023,12 DE ABRIL,1,1.3441
Creciente,2023,12 DE ABRIL,2,1.6667
Creciente,2023,12 DE ABRIL,3,1.6129
Creciente,2023,12 DE ABRIL,4,0.7796
Creciente,2023,12 DE ABRIL,5,1.0753
Creciente,2023,12 DE ABRIL,6,0.1075
Creciente,2023,12 DE ABRIL,7,0.3495
Creciente,2023,12 DE ABRIL,8,0.7258
Creciente,2023,12 DE ABRIL,9,1.8494
Creciente,2023,12 DE ABRIL,10,1.7473
Creciente,2023,12 DE ABRIL,11,0.4497
Creciente,2023,12 DE ABRIL,12,0.3906
Creciente,2023,12 DE ABRIL,13,1.7708
Creciente,2023,12 DE ABRIL,14,2.3177
Creciente,2023,12 DE ABRIL,15,0.5206
Creciente,2023,12 DE ABRIL,16,0.5469
Creciente,2023,12 DE ABRIL,17,0.5729
Creciente,2023,12 DE ABRIL,18,2.474
Creciente,2023,12 DE ABRIL,19,0.582
Creciente,2023,12 DE ABRIL,20,1.746
Creciente,2023,12 DE ABRIL,21,2.619
Creciente,2023,12 DE ABRIL,22,1.6667
Creciente,2023,12 DE ABRIL,23,0.672
Creciente,2023,PAUJIL,0,2.0573
Creciente,2023,PAUJIL,1,0.9896
Creciente,2023,PAUJIL,2,0.6771
Creciente,2023,PAUJIL,3,3.8802
Creciente,2023,PAUJIL,4,5.3646
Creciente,2023,PAUJIL,5,2.9167
Creciente,2023,PAUJIL,6,0.3968
Creciente,2023,PAUJIL,7,0.873
Creciente,2023,PAUJIL,8,2.037
Creciente,2023,PAUJIL,9,3.0052
Creciente,2023,PAUJIL,10,1.0166
Creciente,2023,PAUJIL,11,0.8201
Creciente,2023,PAUJIL,12,1.0938
Creciente,2023,PAUJIL,13,1.224
Creciente,2023,PAUJIL,14,0.8201
Creciente,2023,PAUJIL,15,1.1111
Creciente,2023,PAUJIL,16,1.5104
Creciente,2023,PAUJIL,17,1.1979
Creciente,2023,PAUJIL,18,1.8229
Creciente,2023,PAUJIL,19,0.4167
Creciente,2023,PAUJIL,20,3.151
Creciente,2023,PAUJIL,21,4.5313
Creciente,2023,PAUJIL,22,7.5781
Creciente,2023,PAUJIL,23,4.4271
Creciente,2023,QUISTOCOCHA,0,2.9524
Creciente,2023,QUISTOCOCHA,1,2.0238
Creciente,2023,QUISTOCOCHA,2,2.3095
Creciente,2023,QUISTOCOCHA,3,2.381
Creciente,2023,QUISTOCOCHA,4,2.381
Creciente,2023,QUISTOCOCHA,5,2.4524
Creciente,2023,QUISTOCOCHA,6,3.1429
Creciente,2023,QUISTOCOCHA,7,5.2821
Creciente,2023,QUISTOCOCHA,8,3.3598
Creciente,2023,QUISTOCOCHA,9,3.0688
Creciente,2023,QUISTOCOCHA,10,2.0665
Creciente,2023,QUISTOCOCHA,11,2.2535
Creciente,2023,QUISTOCOCHA,12,2.8638
Creciente,2023,QUISTOCOCHA,13,2.8169
Creciente,2023,QUISTOCOCHA,14,3.9202
Creciente,2023,QUISTOCOCHA,15,4.7653
Creciente,2023,QUISTOCOCHA,16,3.4977
Creciente,2023,QUISTOCOCHA,17,4.3499
Creciente,2023,QUISTOCOCHA,18,3.7839
Creciente,2023,QUISTOCOCHA,19,7.119
Creciente,2023,QUISTOCOCHA,20,8.2619
Creciente,2023,QUISTOCOCHA,21,7.7857
Creciente,2023,QUISTOCOCHA,22,5.9524
Creciente,2023,QUISTOCOCHA,23,6.6905
Creciente,2023,SAN LUCAS,0,10.9459
Creciente,2023,SAN LUCAS,1,6.6667
Creciente,2023,SAN LUCAS,2,9.5946
Creciente,2023,SAN LUCAS,3,5.045
Creciente,2023,SAN LUCAS,4,5.045
Creciente,2023,SAN LUCAS,5,7.6577
Creciente,2023,SAN LUCAS,6,5.4955
Creciente,2023,SAN LUCAS,7,6.5611
Creciente,2023,SAN LUCAS,8,4.9479
Creciente,2023,SAN LUCAS,9,11.5625
Creciente,2023,SAN LUCAS,10,8.4896
Creciente,2023,SAN LUCAS,11,7.0707
Creciente,2023,SAN LUCAS,12,10.3419
Creciente,2023,SAN LUCAS,13,13.018
Creciente,2023,SAN LUCAS,14,15.045
Creciente,2023,SAN LUCAS,15,12.5676
Creciente,2023,SAN LUCAS,16,11.5766
Creciente,2023,SAN LUCAS,17,9.1441
Creciente,2023,SAN LUCAS,18,13.2432
Creciente,2023,SAN LUCAS,19,9.9099
Creciente,2023,SAN LUCAS,20,14.1441
Creciente,2023,SAN LUCAS,21,18.4685
Creciente,2023,SAN LUCAS,22,8.6486
Creciente,2023,SAN LUCAS,23,12.973
Creciente,2023,VARILLAL,0,3.0736
Creciente,2023,VARILLAL,1,1.8615
Creciente,2023,VARILLAL,2,2.5108
Creciente,2023,VARILLAL,3,2.684
Creciente,2023,VARILLAL,4,2.1645
Creciente,2023,VARILLAL,5,1.4935
Creciente,2023,VARILLAL,6,3.0519
Creciente,2023,VARILLAL,7,2.1212
Creciente,2023,VARILLAL,8,3.1169
Creciente,2023,VARILLAL,9,5.3289
Creciente,2023,VARILLAL,10,5.0228
Creciente,2023,VARILLAL,11,4.7945
Creciente,2023,VARILLAL,12,5.1316
Creciente,2023,VARILLAL,13,4.7835
Creciente,2023,VARILLAL,14,3.2895
Creciente,2023,VARILLAL,15,3.2675
Creciente,2023,VARILLAL,16,2.0614
Creciente,2023,VARILLAL,17,3.9693
Creciente,2023,VARILLAL,18,6.1623
Creciente,2023,VARILLAL,19,9.3202
Creciente,2023,VARILLAL,20,9.3421
Creciente,2023,VARILLAL,21,5.7895
Creciente,2023,VARILLAL,22,2.5108
Creciente,2023,VARILLAL,23,3.4632
Creciente,2024,12 DE ABRIL,0,0.387
Creciente,2024,12 DE ABRIL,1,1.2817
Creciente,2024,12 DE ABRIL,2,0.18
Creciente,2024,12 DE ABRIL,3,0.3617
Creciente,2024,12 DE ABRIL,4,0.2116
Creciente,2024,12 DE ABRIL,5,1.4234
Creciente,2024,12 DE ABRIL,6,0.4241
Creciente,2024,12 DE ABRIL,7,1.2417
Creciente,2024,12 DE ABRIL,8,0.3628
Creciente,2024,12 DE ABRIL,9,0.6947
Creciente,2024,12 DE ABRIL,10,0.5226
Creciente,2024,12 DE ABRIL,11,1.5424
Creciente,2024,12 DE ABRIL,12,0.7859
Creciente,2024,12 DE ABRIL,13,0.2625
