localidad,ciclo_hidrologico,hora_dia,primary_category,promedio_clips_hora
12 DE ABRIL,Creciente,0,Amphibian,7.29
12 DE ABRIL,Creciente,0,Anthropogenic,28.34
12 DE ABRIL,Creciente,0,Bird,0.89
12 DE ABRIL,Creciente,0,Insect,41.57
12 DE ABRIL,Creciente,0,Mammal,0.09
12 DE ABRIL,Creciente,1,Amphibian,2.94
12 DE ABRIL,Creciente,1,Anthropogenic,22.71
12 DE ABRIL,Creciente,1,Bird,0.57
12 DE ABRIL,Creciente,1,Insect,33.26
12 DE ABRIL,Creciente,1,Mammal,0.11
12 DE ABRIL,Creciente,2,Amphibian,2.06
12 DE ABRIL,Creciente,2,Anthropogenic,20.49
12 DE ABRIL,Creciente,2,Bird,0.37
12 DE ABRIL,Creciente,2,Insect,34.17
12 DE ABRIL,Creciente,2,Mammal,0.11
12 DE ABRIL,Creciente,3,Amphibian,2.74
12 DE ABRIL,Creciente,3,Anthropogenic,10.14
12 DE ABRIL,Creciente,3,Bird,0.77
12 DE ABRIL,Creciente,3,Insect,34.0
12 DE ABRIL,Creciente,3,Mammal,0.03
12 DE ABRIL,Creciente,4,Amphibian,1.69
12 DE ABRIL,Creciente,4,Anthropogenic,10.6
12 DE ABRIL,Creciente,4,Bird,2.63
12 DE ABRIL,Creciente,4,Insect,31.63
12 DE ABRIL,Creciente,4,Mammal,0.03
12 DE ABRIL,Creciente,5,Amphibian,4.31
12 DE ABRIL,Creciente,5,Anthropogenic,11.74
12 DE ABRIL,Creciente,5,Bird,2.31
12 DE ABRIL,Creciente,5,Insect,37.94
12 DE ABRIL,Creciente,5,Mammal,0.06
12 DE ABRIL,Creciente,6,Amphibian,0.11
12 DE ABRIL,Creciente,6,Anthropogenic,4.8
12 DE ABRIL,Creciente,6,Bird,19.94
12 DE ABRIL,Creciente,6,Insect,42.83
12 DE ABRIL,Creciente,6,Mammal,0.31
12 DE ABRIL,Creciente,7,Amphibian,0.17
12 DE ABRIL,Creciente,7,Anthropogenic,8.03
12 DE ABRIL,Creciente,7,Bird,17.46
12 DE ABRIL,Creciente,7,Insect,47.51
12 DE ABRIL,Creciente,7,Mammal,0.34
12 DE ABRIL,Creciente,8,Amphibian,0.31
12 DE ABRIL,Creciente,8,Anthropogenic,4.8
12 DE ABRIL,Creciente,8,Bird,22.54
12 DE ABRIL,Creciente,8,Insect,39.57
12 DE ABRIL,Creciente,8,Mammal,0.09
12 DE ABRIL,Creciente,9,Amphibian,0.17
12 DE ABRIL,Creciente,9,Anthropogenic,6.91
12 DE ABRIL,Creciente,9,Bird,21.66
12 DE ABRIL,Creciente,9,Insect,26.26
12 DE ABRIL,Creciente,9,Mammal,0.51
12 DE ABRIL,Creciente,10,Amphibian,0.43
12 DE ABRIL,Creciente,10,Anthropogenic,11.49
12 DE ABRIL,Creciente,10,Bird,30.31
12 DE ABRIL,Creciente,10,Insect,45.09
12 DE ABRIL,Creciente,10,Mammal,0.43
12 DE ABRIL,Creciente,11,Amphibian,0.34
12 DE ABRIL,Creciente,11,Anthropogenic,13.4
12 DE ABRIL,Creciente,11,Bird,25.77
12 DE ABRIL,Creciente,11,Insect,57.09
12 DE ABRIL,Creciente,11,Mammal,0.46
12 DE ABRIL,Creciente,12,Amphibian,0.37
12 DE ABRIL,Creciente,12,Anthropogenic,14.43
12 DE ABRIL,Creciente,12,Bird,24.83
12 DE ABRIL,Creciente,12,Insect,40.89
12 DE ABRIL,Creciente,12,Mammal,0.6
12 DE ABRIL,Creciente,13,Amphibian,0.34
12 DE ABRIL,Creciente,13,Anthropogenic,11.91
12 DE ABRIL,Creciente,13,Bird,19.94
12 DE ABRIL,Creciente,13,Insect,56.14
12 DE ABRIL,Creciente,13,Mammal,0.06
12 DE ABRIL,Creciente,14,Amphibian,0.37
12 DE ABRIL,Creciente,14,Anthropogenic,17.2
12 DE ABRIL,Creciente,14,Bird,24.09
12 DE ABRIL,Creciente,14,Insect,49.0
12 DE ABRIL,Creciente,14,Mammal,0.49
12 DE ABRIL,Creciente,15,Amphibian,0.77
12 DE ABRIL,Creciente,15,Anthropogenic,9.6
12 DE ABRIL,Creciente,15,Bird,18.2
12 DE ABRIL,Creciente,15,Insect,67.57
12 DE ABRIL,Creciente,15,Mammal,0.2
12 DE ABRIL,Creciente,16,Amphibian,2.11
12 DE ABRIL,Creciente,16,Anthropogenic,9.34
12 DE ABRIL,Creciente,16,Bird,19.2
12 DE ABRIL,Creciente,16,Insect,61.26
12 DE ABRIL,Creciente,16,Mammal,0.14
12 DE ABRIL,Creciente,17,Amphibian,3.14
12 DE ABRIL,Creciente,17,Anthropogenic,22.57
12 DE ABRIL,Creciente,17,Bird,18.29
12 DE ABRIL,Creciente,17,Insect,60.14
12 DE ABRIL,Creciente,17,Mammal,0.06
12 DE ABRIL,Creciente,18,Amphibian,5.97
12 DE ABRIL,Creciente,18,Anthropogenic,28.46
12 DE ABRIL,Creciente,18,Bird,5.17
12 DE ABRIL,Creciente,18,Insect,73.17
12 DE ABRIL,Creciente,19,Amphibian,2.03
12 DE ABRIL,Creciente,19,Anthropogenic,32.37
12 DE ABRIL,Creciente,19,Bird,1.34
12 DE ABRIL,Creciente,19,Insect,77.63
12 DE ABRIL,Creciente,19,Mammal,0.03
12 DE ABRIL,Creciente,20,Amphibian,7.83
12 DE ABRIL,Creciente,20,Anthropogenic,36.49
12 DE ABRIL,Creciente,20,Bird,0.37
12 DE ABRIL,Creciente,20,Insect,60.94
12 DE ABRIL,Creciente,21,Amphibian,10.66
12 DE ABRIL,Creciente,21,Anthropogenic,37.6
12 DE ABRIL,Creciente,21,Bird,0.66
12 DE ABRIL,Creciente,21,Insect,53.2
12 DE ABRIL,Creciente,21,Mammal,0.09
12 DE ABRIL,Creciente,22,Amphibian,15.6
12 DE ABRIL,Creciente,22,Anthropogenic,36.11
12 DE ABRIL,Creciente,22,Bird,1.31
12 DE ABRIL,Creciente,22,Insect,42.69
12 DE ABRIL,Creciente,23,Amphibian,10.14
12 DE ABRIL,Creciente,23,Anthropogenic,30.2
12 DE ABRIL,Creciente,23,Bird,0.97
12 DE ABRIL,Creciente,23,Insect,43.29
12 DE ABRIL,Creciente,23,Mammal,0.03
12 DE ABRIL,Vaciante,0,Amphibian,17.52
12 DE ABRIL,Vaciante,0,Anthropogenic,49.96
12 DE ABRIL,Vaciante,0,Bird,2.43
12 DE ABRIL,Vaciante,0,Insect,162.13
12 DE ABRIL,Vaciante,0,Mammal,0.78
12 DE ABRIL,Vaciante,1,Amphibian,13.04
12 DE ABRIL,Vaciante,1,Anthropogenic,51.22
12 DE ABRIL,Vaciante,1,Bird,3.61
12 DE ABRIL,Vaciante,1,Insect,152.17
12 DE ABRIL,Vaciante,1,Mammal,2.09
12 DE ABRIL,Vaciante,2,Amphibian,13.43
12 DE ABRIL,Vaciante,2,Anthropogenic,39.26
12 DE ABRIL,Vaciante,2,Bird,10.35
12 DE ABRIL,Vaciante,2,Insect,146.96
12 DE ABRIL,Vaciante,2,Mammal,0.74
