anio,estacion,periodo_analisis,categoria,comunidad,porcentaje_promedio,porcentaje_min,porcentaje_max,dias_muestreados
2023,Summer,Amanecer Crítico,Anfibio,12 DE abril,2.91,1.15,6.31,5
2023,Summer,Amanecer Crítico,Anfibio,SAN LUCAS,8.13,0.6,31.67,6
2023,Summer,Amanecer Crítico,Antropogénico,12 DE abril,5.57,2.71,8.75,6
2023,Summer,Amanecer Crítico,Antropogénico,SAN LUCAS,14.26,10.42,16.55,6
2023,Summer,Amanecer Crítico,Ave,12 DE abril,8.52,4.9,11.67,6
2023,Summer,Amanecer Crítico,Ave,SAN LUCAS,27.23,20.95,33.21,6
2023,Summer,Amanecer Crítico,Insecto,12 DE abril,18.25,7.38,24.79,6
2023,Summer,Amanecer Crítico,Insecto,SAN LUCAS,32.27,22.08,43.69,6
2023,Summer,Amanecer Crítico,Mamífero,12 DE abril,0.19,0.1,0.24,3
2023,Summer,Amanecer Crítico,Mamífero,SAN LUCAS,0.41,0.12,0.71,6
2023,Summer,Amanecer Crítico,Ruido ambiental,12 DE abril,65.14,60.21,79.05,6
2023,Summer,Amanecer Crítico,Ruido ambiental,SAN LUCAS,17.07,5.0,27.86,6
2023,Summer,Anochecer Crítico,Anfibio,12 DE abril,2.88,0.52,5.52,5
2023,Summer,Anochecer Crítico,Anfibio,SAN LUCAS,11.0,2.38,21.67,5
2023,Summer,Anochecer Crítico,Antropogénico,12 DE abril,6.95,2.4,13.33,5
2023,Summer,Anochecer Crítico,Antropogénico,SAN LUCAS,29.45,20.83,35.71,5
2023,Summer,Anochecer Crítico,Ave,12 DE abril,09.02,06.04,15.0,5
2023,Summer,Anochecer Crítico,Ave,SAN LUCAS,11.07,2.5,16.43,5
2023,Summer,Anochecer Crítico,Insecto,12 DE abril,21.05,13.23,31.35,5
2023,Summer,Anochecer Crítico,Insecto,SAN LUCAS,29.2,25.0,35.42,5
2023,Summer,Anochecer Crítico,Mamífero,SAN LUCAS,1.23,0.48,2.26,3
2023,Summer,Anochecer Crítico,Ruido ambiental,12 DE abril,60.1,55.83,66.35,5
2023,Summer,Anochecer Crítico,Ruido ambiental,SAN LUCAS,18.54,16.19,22.26,5
2023,Autumn,Amanecer Crítico,Anfibio,VARILLAL,0.63,0.12,1.55,10
2023,Autumn,Amanecer Crítico,Antropogénico,VARILLAL,13.18,5.95,21.9,11
2023,Autumn,Amanecer Crítico,Ave,VARILLAL,10.67,7.26,16.55,11
2023,Autumn,Amanecer Crítico,Insecto,VARILLAL,40.97,30.83,50.6,11
2023,Autumn,Amanecer Crítico,Mamífero,VARILLAL,0.6,0.12,1.31,3
2023,Autumn,Amanecer Crítico,Ruido ambiental,VARILLAL,34.44,22.5,42.14,11
2023,Autumn,Anochecer Crítico,Anfibio,VARILLAL,2.37,0.12,6.79,11
2023,Autumn,Anochecer Crítico,Antropogénico,VARILLAL,15.33,7.26,26.07,11
2023,Autumn,Anochecer Crítico,Ave,VARILLAL,5.3,1.31,9.52,11
2023,Autumn,Anochecer Crítico,Insecto,VARILLAL,37.36,25.83,46.9,11
2023,Autumn,Anochecer Crítico,Mamífero,VARILLAL,0.39,0.12,0.83,4
2023,Autumn,Anochecer Crítico,Ruido ambiental,VARILLAL,39.5,20.83,47.86,11
2023,Winter,Amanecer Crítico,Anfibio,12 DE abril,0.38,0.3,0.79,6
2023,Winter,Amanecer Crítico,Anfibio,PAUJIL,0.75,0.2,02.08,5
2023,Winter,Amanecer Crítico,Anfibio,QUISTOCOCHA,0.56,0.56,0.56,1
2023,Winter,Amanecer Crítico,Anfibio,SAN LUCAS,0.53,0.1,1.39,9
2023,Winter,Amanecer Crítico,Antropogénico,12 DE abril,7.66,03.08,19.54,6
2023,Winter,Amanecer Crítico,Antropogénico,PAUJIL,7.36,5.75,9.52,6
2023,Winter,Amanecer Crítico,Antropogénico,QUISTOCOCHA,6.35,1.25,12.22,6
2023,Winter,Amanecer Crítico,Antropogénico,SAN LUCAS,2.32,1.29,3.47,10
2023,Winter,Amanecer Crítico,Ave,12 DE abril,13.66,6.15,23.71,6
2023,Winter,Amanecer Crítico,Ave,PAUJIL,13.54,11.61,16.07,6
2023,Winter,Amanecer Crítico,Ave,QUISTOCOCHA,13.08,4.17,19.33,6
2023,Winter,Amanecer Crítico,Ave,SAN LUCAS,18.01,13.79,21.83,10
