localidad,ciclo_hidrologico,temporada_base,hora_dia,primary_category,promedio_clips_hora
12 DE ABRIL,Creciente,2023,0,Amphibian,11.25
12 DE ABRIL,Creciente,2023,0,Anthropogenic,16.55
12 DE ABRIL,Creciente,2023,0,Bird,0.95
12 DE ABRIL,Creciente,2023,0,Insect,62.85
12 DE ABRIL,Creciente,2023,1,Amphibian,5.05
12 DE ABRIL,Creciente,2023,1,Anthropogenic,16.8
12 DE ABRIL,Creciente,2023,1,Bird,0.5
12 DE ABRIL,Creciente,2023,1,Insect,52.7
12 DE ABRIL,Creciente,2023,2,Amphibian,3.4
12 DE ABRIL,Creciente,2023,2,Anthropogenic,15.1
12 DE ABRIL,Creciente,2023,2,Bird,0.45
12 DE ABRIL,Creciente,2023,2,Insect,50.4
12 DE ABRIL,Creciente,2023,3,Amphibian,2.65
12 DE ABRIL,Creciente,2023,3,Anthropogenic,15.1
12 DE ABRIL,Creciente,2023,3,Bird,1.15
12 DE ABRIL,Creciente,2023,3,Insect,57.35
12 DE ABRIL,Creciente,2023,3,Mammal,0.05
12 DE ABRIL,Creciente,2023,4,Amphibian,1.85
12 DE ABRIL,Creciente,2023,4,Anthropogenic,17.9
12 DE ABRIL,Creciente,2023,4,Bird,2.5
12 DE ABRIL,Creciente,2023,4,Insect,51.95
12 DE ABRIL,Creciente,2023,5,Amphibian,7.35
12 DE ABRIL,Creciente,2023,5,Anthropogenic,19.45
12 DE ABRIL,Creciente,2023,5,Bird,3.55
12 DE ABRIL,Creciente,2023,5,Insect,60.05
12 DE ABRIL,Creciente,2023,5,Mammal,0.1
12 DE ABRIL,Creciente,2023,6,Amphibian,0.15
12 DE ABRIL,Creciente,2023,6,Anthropogenic,7.5
12 DE ABRIL,Creciente,2023,6,Bird,29.6
12 DE ABRIL,Creciente,2023,6,Insect,71.6
12 DE ABRIL,Creciente,2023,6,Mammal,0.5
12 DE ABRIL,Creciente,2023,7,Amphibian,0.25
12 DE ABRIL,Creciente,2023,7,Anthropogenic,9.2
12 DE ABRIL,Creciente,2023,7,Bird,25.15
12 DE ABRIL,Creciente,2023,7,Insect,79.75
12 DE ABRIL,Creciente,2023,7,Mammal,0.5
12 DE ABRIL,Creciente,2023,8,Amphibian,0.15
12 DE ABRIL,Creciente,2023,8,Anthropogenic,8.15
12 DE ABRIL,Creciente,2023,8,Bird,33.1
12 DE ABRIL,Creciente,2023,8,Insect,59.05
